Age,Gender,EducationLevel,ExperienceYears,JobTitle,City,Industry,Department,Salary
59,Female,Bachelor,22,Analyst,Austin,Education,Sales,102626.11
32,Male,Master,24,Analyst,New York,Education,Marketing,107279.4
55,Male,Bachelor,29,Sales Executive,Austin,Education,Human Resources,106390.79
34,Male,Master,28,Sales Executive,Austin,Finance,Finance,110886.53
42,Male,Master,30,Analyst,Boston,Tech,Sales,129100.78
43,Female,Bachelor,17,Sales Executive,Austin,Healthcare,Human Resources,94802.43
27,Female,Master,18,Analyst,Boston,Tech,Finance,112145.13
45,Female,Master,3,Manager,San Francisco,Healthcare,Finance,108777.74
33,Female,High School,0,Sales Executive,Boston,Retail,Human Resources,59476.75
41,Female,High School,14,Analyst,San Francisco,Education,Sales,97788.83
30,Male,Master,7,Sales Executive,Boston,Retail,Marketing,83069.02
29,Female,PhD,14,Data Scientist,Seattle,Retail,Finance,88766.75
35,Male,Bachelor,14,Data Scientist,San Francisco,Healthcare,Engineering,110598.97
22,Female,Master,21,Engineer,San Francisco,Finance,Engineering,121309.84
45,Male,Bachelor,17,Analyst,Austin,Education,Engineering,105285.41
33,Female,High School,15,Engineer,San Francisco,Retail,Marketing,92207.61
54,Male,Bachelor,1,Analyst,Boston,Tech,Finance,95191.52
54,Male,Master,19,Sales Executive,Seattle,Education,Sales,106238.23
55,Female,Master,15,Analyst,Seattle,Finance,Sales,112508.59
58,Male,Master,2,Data Scientist,Austin,Education,Marketing,95055.89
23,Male,Master,29,Sales Executive,Boston,Retail,Finance,114506.15
26,Female,PhD,1,Data Scientist,Boston,Tech,Human Resources,93923.29
39,Male,PhD,34,Sales Executive,New York,Retail,Human Resources,130888.16
23,Male,PhD,25,Analyst,San Francisco,Finance,Finance,126205.74
38,Female,Master,4,Analyst,Austin,Healthcare,Finance,90238.31
59,Male,PhD,1,Data Scientist,Seattle,Tech,Sales,108389.46
29,Male,Bachelor,19,Manager,New York,Finance,Marketing,104206.28
32,Male,Master,33,Analyst,Boston,Finance,Marketing,124207.81
25,Male,High School,33,Manager,San Francisco,Retail,Sales,106879.23
23,Female,Master,19,Sales Executive,Seattle,Retail,Engineering,87337.51
31,Female,Bachelor,24,Manager,New York,Retail,Human Resources,107415.98
50,Female,PhD,19,Data Scientist,Boston,Healthcare,Finance,115822.75
24,Female,Master,24,Engineer,Seattle,Education,Human Resources,100370.59
25,Female,PhD,13,Engineer,Seattle,Education,Human Resources,94912.38
21,Female,Master,11,Data Scientist,Boston,Retail,Marketing,83151.61
47,Male,Bachelor,4,Engineer,Boston,Retail,Sales,78223.02
48,Male,Master,1,Data Scientist,Austin,Healthcare,Engineering,86246.7
49,Male,PhD,15,Analyst,Seattle,Education,Engineering,109141.37
38,Female,PhD,29,Manager,Boston,Healthcare,Sales,122512.24
32,Female,Bachelor,23,Engineer,New York,Finance,Human Resources,104245.29
33,Male,Master,29,Analyst,San Francisco,Education,Sales,124556.78
22,Male,High School,10,Engineer,Austin,Retail,Sales,66232.46
57,Female,Master,13,Sales Executive,Boston,Tech,Finance,114363.4
36,Male,Bachelor,22,Data Scientist,San Francisco,Finance,Finance,124074.55
44,Female,High School,15,Data Scientist,Austin,Tech,Human Resources,94351.43
55,Male,Bachelor,20,Analyst,Seattle,Healthcare,Marketing,116910.89
42,Female,Master,3,Sales Executive,San Francisco,Healthcare,Engineering,106996.88
